author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
892059375426297858,1482804097430528007,2022-01-16T19:57:00.000Z,1482804097430528007,"",0,0,0,0,"MULTI FR24 CIRCLING ALERT : At time Sun Jan 16 19:55:28 2022 #TAM9339 was likely to be circling at FL79 5nm from STN Santana_VOR-DME_BR
 near Araçariguama, Região Imediata de Sorocaba, Região  #AvGeek #ADSB https://t.co/FTqH1buMi4 https://t.co/QvKHHmG7gm"
985367109860458496,1482803946146123776,2022-01-16T19:56:24.000Z,1482803946146123776,"",0,0,0,0,tv sorocaba https://t.co/NXANdbAddQ
892059375426297858,1482803818438041602,2022-01-16T19:55:54.000Z,1482803818438041602,"",0,0,0,0,"MULTI FR24 HOLDING PATTERN ALERT : At time Sun Jan 16 19:54:00 2022 #GLO1277 was likely to be holding at FL220 12nm from IK Bento_NDB_BR
 near Sítio São José, Salto, Região Imediata de Sorocaba #AvGeek #ADSB https://t.co/qRDHY7MwrI https://t.co/qQUvorrGOk"
892059375426297858,1482803710736613380,2022-01-16T19:55:28.000Z,1482803710736613380,"",0,0,0,0,"MULTI FR24 HOLDING PATTERN ALERT : At time Sun Jan 16 19:53:56 2022 #None was likely to be holding at FL110 10nm from STN Santana_VOR-DME_BR
 near Araçariguama, Região Imediata de Sorocaba, Região  #AvGeek #ADSB https://t.co/i8qKlOmeSt https://t.co/9RJSbXiz71"
1146150479317151745,1482765828961492998,2022-01-16T19:54:57.000Z,1482803580813946888,920756567611531264,1,0,1,0,@iristelfser qnd eu falei de vc ficar vc disse q n tinha nada pra fazer em sorocaba e que queria voltar pra ocz 🤔
3642658582,1482803481941585923,2022-01-16T19:54:33.000Z,1482803481941585923,"",0,0,0,0,"Coisas aleatórias que acabei de notar e parei pra pensar sem motivo algum 
4 pessoas que eu conheço do meu Instagram tão em Maceió, 3 de Sorocaba e 1 do rio kkkkkkk"
1217605415846006784,1482803118886854662,2022-01-16T19:53:07.000Z,1482803118886854662,"",0,0,0,8,RT @Doriko8: @BastosJusmari Em Sorocaba SP bebes foram vacinados contra covid 19 e a midia logo tratou de abafar o caso como vacinados por…
892059375426297858,1482802987311509506,2022-01-16T19:52:35.000Z,1482802987311509506,"",0,0,0,0,"MULTI ADSBX MANOEUVRING ALERT : At time Sun Jan 16 19:50:04 2022 # was likely to be manoeuvring at FL110 12nm from SCB Sorocaba_VOR-DME_BR
 near São Roque, Região Imediata de Sorocaba, Região Met #AvGeek #ADSB https://t.co/Md1yrdF7cL https://t.co/TeMKGw1aly"
892059375426297858,1482802832667549701,2022-01-16T19:51:59.000Z,1482802832667549701,"",0,0,0,0,"MULTI FR24 CIRCLING ALERT : At time Sun Jan 16 19:50:47 2022 #TAM3495 was likely to be circling at FL69 13nm from STN Santana_VOR-DME_BR
 near Araçariguama, Região Imediata de Sorocaba, Região  #AvGeek #ADSB https://t.co/be1Zicrg5I https://t.co/JUXdl5feA0"
1303706821962727425,1482802660159934468,2022-01-16T19:51:17.000Z,1482802660159934468,"",0,0,0,6,RT @somusas1: Maravilhosa deliciosa sensacional @BossMirela ela está te esperando para deixar louco de prazrr em Campinas de 17 a 23 e Soro…
892059375426297858,1482802017961713674,2022-01-16T19:48:44.000Z,1482802017961713674,"",0,0,0,0,"MULTI FR24 CIRCLING ALERT : At time Sun Jan 16 19:47:33 2022 #GLO1277 was likely to be circling at FL220 13nm from KP Grama_NDB_BR
 near Salto, Região Imediata de Sorocaba, Região Metropo #AvGeek #ADSB https://t.co/qRDHY7MwrI https://t.co/4iMUbTzekO"
1245770614671056897,1482801868841668612,2022-01-16T19:48:09.000Z,1482801868841668612,"",0,0,1,0,sonhei que tava tendo um ataque dos volturi aqui em sorocaba ai eu liguei pra alice com meu inglês meia boca tentando avisar ela e o edward que os cara tava matando geral aqui
1274014248360914944,1482801711253237762,2022-01-16T19:47:31.000Z,1482801711253237762,"",2,1,1,0,mano o vitor e a faria tão vindo mm lá de sorocaba pra tatuí
1453699320222523399,1482801646539358211,2022-01-16T19:47:16.000Z,1482801646539358211,"",0,0,0,0,"Uma pequena homenagem a minha Vó... como eu amo essa guerreira... em Sorocaba, Brazil https://t.co/bovBQ2ZQ1z"
892059375426297858,1482801247220604941,2022-01-16T19:45:41.000Z,1482801247220604941,"",0,0,0,0,"MULTI FR24 HOLDING PATTERN ALERT : At time Sun Jan 16 19:44:19 2022 #GLO1277 was likely to be holding at FL220 13nm from SCB Sorocaba_VOR-DME_BR
 near Estrada Municipal Celeste Estevam Soares da Cunha, #AvGeek #ADSB https://t.co/qRDHY7MwrI https://t.co/yTxwzTo83R"
1310097695865012224,1482800931133607936,2022-01-16T19:44:25.000Z,1482800931133607936,"",0,0,0,26,"RT @dylandantassp: Em reunião na Secretaria da Saúde de Sorocaba, e através de ofício, solicitamos que a cidade siga as recomendações da DP…"
1476592926092406793,1482740075909861377,2022-01-16T19:43:16.000Z,1482800641449906176,957062167194456064,0,0,0,0,@ManuLim18495461 Engraçado q só naiara foi odiada né a Paula mato tbm tava e o sorocaba sera q e pq a Naiara e mulher ? #TeamNaiara
892059375426297858,1482800068700876810,2022-01-16T19:41:00.000Z,1482800068700876810,"",0,0,0,0,"MULTI ADSBX MANOEUVRING ALERT : At time Sun Jan 16 19:38:50 2022 #GLO1277  was likely to be manoeuvring at FL220 11nm from SCB Sorocaba_NDB_BR
 near Estrda Municipal Nelson Daldon, Jardim Encanto do  #AvGeek #ADSB https://t.co/l9JNXh3qaW https://t.co/pWlx7ETvVw"
1232373713082949632,1482799883828477955,2022-01-16T19:40:16.000Z,1482799883828477955,"",0,0,0,391,RT @Maraisa: Quem já deu o play pro show de hoje em Sorocaba?! 👀 https://t.co/X4ttiQFPR5
1232373713082949632,1482799827096424462,2022-01-16T19:40:02.000Z,1482799827096424462,"",0,0,0,204,RT @Maraisa: Hoje tem Maiara &amp; Maraisa in Sorocaba!!! Estamos aqui nos preparativos pra essa noite tão especial. Vai ser lindo demais! Vem…
1389913258568597507,1482755601616842754,2022-01-16T19:37:53.000Z,1482799286119276553,1368629810134736898,1,0,0,0,@M__Cantuaria Se a história é em Sorocaba e a escola chama sei lá Northwest Hill High eu já nem continuo uahauaahauaha
742845728083607552,1482799149636636676,2022-01-16T19:37:21.000Z,1482799149636636676,"",0,0,0,0,fernando e sorocaba - acústico 2010
373974836,1482797937818230786,2022-01-16T19:32:32.000Z,1482797937818230786,"",0,0,0,486,"RT @MaiaraMeM: \"Oi Felicidade! Pode entrar e ficar por aqui!\"🥰 
Meu Deus!!!! Foi incrível Sorocaba!!! Em êxtase até agora com a energia de…"
381696363,1482797893455167494,2022-01-16T19:32:21.000Z,1482797893455167494,"",0,0,0,0,No ar: Fernando e Sorocaba - Sempre Seu Homem / Rumo à Goiânia
722500082470416384,1482797481268240384,2022-01-16T19:30:43.000Z,1482797481268240384,"",0,0,0,0,"Sair do fresquinho da prova pro inferno que é o calor de Sorocaba, vou morrer"
373974836,1482797353706917890,2022-01-16T19:30:12.000Z,1482797353706917890,"",0,0,0,236,RT @Maraisa: Obrigada Sorocaba - SP 🙏🏼 https://t.co/7Cprn2aus3
373974836,1482369580194537472,2022-01-16T19:30:05.000Z,1482797321251393539,77382273,0,0,0,0,@MaiaraeMaraisa @Maraisa Esse show de Sorocaba foi fodaaaaa 💟
373974836,1482797197607452675,2022-01-16T19:29:35.000Z,1482797197607452675,"",0,0,0,247,"RT @MaiaraeMaraisa: Um vídeo de arrepiar, um pouquinho do que rolou no show de ontem! Que energia contagiante! Obrigada Sorocaba - SP por n…"
373974836,1482642396772982784,2022-01-16T19:29:06.000Z,1482797076941623296,1105176669575438336,0,0,0,0,@Maraisa E eu que fiquei mais de 7 horas em pé no show de Sorocaba 🤦😂😂😂😂
1932159206,1482795671983996930,2022-01-16T19:23:31.000Z,1482795671983996930,"",0,0,0,8,RT @Doriko8: @BastosJusmari Em Sorocaba SP bebes foram vacinados contra covid 19 e a midia logo tratou de abafar o caso como vacinados por…
1443971497928839168,1482795164762525701,2022-01-16T19:21:30.000Z,1482795164762525701,"",0,0,0,8,RT @Doriko8: @BastosJusmari Em Sorocaba SP bebes foram vacinados contra covid 19 e a midia logo tratou de abafar o caso como vacinados por…
1333455202796658690,1482795059129073669,2022-01-16T19:21:05.000Z,1482795059129073669,"",0,0,0,8,RT @Doriko8: @BastosJusmari Em Sorocaba SP bebes foram vacinados contra covid 19 e a midia logo tratou de abafar o caso como vacinados por…
575706503,1482794748586962946,2022-01-16T19:19:51.000Z,1482794748586962946,"",0,0,0,0,"Vontade de um doce da delicatesse ,Thali podia trazer uma franquia de Sorocaba pra SP 🥺"
